"COMP_ID","COMP_NM","COMP_LONG_NM","ISIN_CODE","TICKER"
"11389",Dena Bank,Dena Bank,INE077A01010,
"11147",India Glycols,India Glycols Ltd,INE560A01015,IGLY IN Equity
"10960",Celebrity Fash,Celebrity Fashions Ltd,INE185H01016,
"11329",Truck first. Com,,,
"10615",Volks Wagen,,,
"10500",Heinz India Ltd,,,
"11037",ITC,ITC Ltd,INE154A01025,NITCL IN Equity
"11126",GIC Housing Fin,GIC Housing Finance Ltd,INE289B01019,
"11166",Unity Infra,Unity Infraprojects Ltd,INE466H01028,NUIP IN Equity
"10475",Hotel Leela Ven,Hotel Leela Venture Ltd,INE102A01024,
"11075",Aarti Inds.,Aarti Industries Ltd,INE769A01020,
"11528",Simplex Infrastr,Simplex Infrastructures Ltd,INE059B01024,
"11578",Amara Raja Batt,Amara Raja Batteries Ltd,INE885A01032,
"10836",UTV Software,UTV Software Communications Ltd,,
"11213",J P Morgan KPO,J P Morgan KPO,,
"11224",Eicher Motors,Eicher Motors Ltd,INE066A01013,
"10262",Gland Pharma Ltd,,,
"11806",Enamor,,,
"11161",Thinksoft,,,
"11419",Baxter Intl Inc,,,
"10864",Birla Corp,Birla Corporation Ltd,INE340A01012,NBJUT IN Equity
"11105",Century Textiles,Century Textiles & Industries Ltd,INE055A01016,NCENT IN Equity
"10800",Gayatri Projects,Gayatri Projects Ltd,INE336H01015,
"11277",Maxwell Inds.,Maxwell Industries Ltd,INE450G01024,
"10686",Gateway Distripa,Gateway Distriparks Ltd,INE852F01015,NGDPL IN Equity
"11706",DP World,,,
"11085",CESC,CESC Ltd,INE486A01013,NCESC IN Equity
"11625",Ispat Inds.,Ispat Industries Ltd,,
"11169",Applid Materials Inc.,,,
"11887",Tata Nexon Limited ,,,
"11842",Metro Shoes,,,
"11701",Sanghi Industries,,,
"11045",Reliance Infra,Reliance Infra,INE036A01016,NRELE IN Equity
"11530",YouBroad band,,,
"10844",Filatex India,Filatex India Ltd,INE816B01019,
"10474",Guj. Ambuja Cem,Gujarat Ambuja Cements Ltd,INE079A01024,NACEM IN Equity
"11902",Microchip Technology Inc.,,,
"11180",Siemens Ltd,Siemens Ltd,INE003A01024,NSIEM IN Equity
"10391",Mutual fund scheme note,,,
"11496",Servalakshmi Paper Ltd,,INE431L01016,
"11086",Chamanlal Setia,Chamanlal Setia Exports Ltd,INE419D01018,
"11552",TCI Finance,TCI Finance Ltd,INE911B01018,
"11354",Emami,Emami Ltd,INE548C01032,
"11004",Videocon Commun.,Videocon Communications Ltd,,
"10876",Reckitt Benckiser ,,,
"10705",BGR Energy Systems Ltd,BGR Energy Systems Ltd,INE661I01014,
"11529",Steel Str. Wheel,Steel Strips Wheels Ltd,INE802C01017,
"11571",Tayo Rolls,Tayo Rolls Ltd,INE895C01011,
"11038",KOTAK CONF 2016,,,
"11378",Hester Pharma.,Hester Pharmaceuticals Ltd,,
"11924",WNS Holdings Ltd,,,
"11944",Blockchain Technology Ltd,,,
"10692",NSE,,,
"10900",Whirlpool India,Whirlpool of India Ltd,INE716A01013,
"11712",Kec International,,,
"11621",Amtek Rail Ltd,,,
"11286",Tech Mahindra,Tech Mahindra Ltd,INE669C01036,
"11080",Butterfly Gandhimathi Appl,Gandhimathi Appliances Ltd,INE295F01017,
"11262",Orient Paper,Orient Paper & Industries Ltd,INE592A01026,NOPI IN Equity
"11167",Axis Capital Mkt,Axis Capital Markets (India) Ltd,INE785D01012,
"11447",Mckinsey&Company,,,
"11178",Raipur Alloys,Raipur Alloys & Steel Ltd,,
"10980",Deere & Co,,,
"11549",SERVICES FUNDS,,,
"10904",Govind Rubber,Govind Rubber Ltd,INE011C01015,
"10770",Various,,,
"11082",BlackRock Inc.,,,
"11131",Mukand,Mukand Ltd,INE304A01026,MUK IN Equity
"11252",Jagran Prakashan,Jagran Prakashan Ltd,INE199G01027,NJAGP IN Equity
"10621",Aksh Optifibre,Aksh Optifibre Ltd,INE523B01011,
"11249",IDBI Bank,IDBI Bank,INE008A01015,NIDBI IN Equity
"11554",Bridgestone,,,
"11746", BRL Logistics ,,,
"10860",Standard Chartered PLC,,,
"11873",Standard Chartered Bank Ltd,,,
"11298",Kansai Nerolac,Kansai Nerolac Paints Ltd,INE531A01024,
"10550",Balaji Telefilms,Balaji Telefilms Ltd,INE794B01026,
"11930",NIPFP Ltd ,,,
"11200",V-Guard Industries Ltd,V-Guard Industries Ltd,INE951I01019,
"11456",Sree Ramicides Chemicals Ltd,,,
"11176",Pearl Global,Pearl Global Ltd,,
"11430",Union Pacific Corp,,,
"10816",Western Gas Partners,,,
"11546",Rajratan Global,Rajratan Global Wire Ltd,INE451D01011,
"11041",L&T Technologies services,,,
"11991",General Mills Inc.,,,
"11182",Trident Ltd,,INE064C01014,
"11636",Sony Pictures Networks,,,
"11662",Magma Fincorp,,,
"12082",Ircon International Limited,,,
"11886",Amaltas India Limited,,,
"11833",Amber Ltd ,,,
"11074",TOP 200 FUNDS,,,
"11545",ORG Informatics,ORG Informatics Ltd,,
"10899",Sudarshan Chem.,Sudarshan Chemical Industries Ltd,INE659A01023,
"10552",CEAT,CEAT Ltd,INE482A01020,NCEAT IN Equity
"11936",V2 Retail Limited,,,
"11640",Thirumalai Chem.,Thirumalai Chemicals Ltd,INE338A01016,
"10694",Morgan Stanley,,,
"11721", Radius Developers ,,,
"11274",JBM Auto,JBM Auto Ltd,INE927D01028,
"11804",Aditya Birla Capital Ltd,,,
"11540",Indo Tech,Indo Tech Transformers Ltd,INE332H01014,
"11350",Unichem Laboratories Ltd,Unichem Laboratories Ltd,INE351A01035,
"10883",AIOCD,,,
