"Ticker","Name_","Type_","Period_","EffectiveDate","ExpireDate","Measure_Code","Measure_Desc","UnitType","Curr","Value_","NumIncEsts"
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-22 07:07:00.000,,AVGIBL,Average Interest Bearing Liabilities,Currency,INR,19201913,2
HDFCBANK,HDFC Bank Ltd,Year,2026,2023-10-17 10:05:00.000,,EASSETYLD,Earning Asset Yield,Percentage,,8.5,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-07-21 00:08:00.000,,TIER1CAP,Tier 1 Capital,Currency,INR,16.0,1
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 13:52:00.000,,CIRATIO,Cost per Income Ratio,Percentage,,40.12778,18
HDFCBANK,HDFC Bank Ltd,Year,2026,2024-10-21 10:29:00.000,,TOTALLIAB,Total Liabilities ,Currency,INR,44907772.55556,18
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,BVPS,Book Value Per Share,Currency,INR,817.22304,25
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-31 06:19:00.000,,DPS,Dividend Per Share,Currency,INR,26.18984,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,EBIT,EARNINGS BEFORE INTEREST AND TAXES,Currency,INR,1422189.51905,20
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-31 06:19:00.000,,EPS,Earnings Per Share,Currency,INR,119.26015,27
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-31 06:19:00.000,,EPSREP,As Reported EPS,Currency,INR,118.81524,21
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,NAV,Net Assets Value,Currency,INR,5910016.19432,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,NPROFIT,Net Income,Currency,INR,908949.93978,27
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,PPROFIT,Pretax Profit,Currency,INR,1208799.70476,25
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-25 16:49:00.000,,ROA,Return on Assets,Percentage,,1.90861,23
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,ROE,Return On Equity,Percentage,,15.34464,25
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,REV,Sales,Currency,INR,2273595.19278,23
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,NPROFITREP,Reported Net Profit,Currency,INR,906527.52675,20
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,TBVPS,Tangible Book Value Per Share,Currency,INR,794.37158,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,PPROFITREP,Reported Pretax Profit,Currency,INR,1167834.625,16
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,OPREXP,Operating Expense,Currency,INR,888520.89474,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-07-21 22:41:00.000,,TIER1,Core Tier 1 Capital,Currency,INR,8108.0,2
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-25 16:49:00.000,,TOTDEP,Total Deposits,Currency,INR,37871003.2,20
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-25 16:49:00.000,,INTEXP,Interest Expense,Currency,INR,1956695.2125,16
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 22:45:27.003,,LOANS,Loans,Currency,INR,33990860.64706,17
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-25 16:49:00.000,,NII,Net Interest Income,Currency,INR,1644945.9,20
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 10:29:00.000,,NIS,Net Interest Spread,Percentage,,3.4,3
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,FCI,Fees & Commissions Income,Currency,INR,488045.42857,7
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-20 20:14:00.000,,NPA,Non-Performing Assets,Currency,INR,93500.8,4
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-20 16:08:00.000,,NPL,Non-Performing Loans,Currency,INR,468561.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-20 20:14:00.000,,RWA,Risk Weighted Assets,Currency,INR,34700234.5,2
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 08:29:00.000,,T1C,Tier 1 Capital Ratio,Percentage,,17.32857,7
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-07 07:47:00.000,,CUSDEP,Customer Deposits under Total Deposits,Currency,INR,1485000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,TNIR,Total non-interest Revenue,Currency,INR,612934.35294,17
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 11:00:00.000,,TRAINC,Trading Income,Currency,INR,31073.5,2
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-14 16:07:00.000,,SIC,Securities in Issue under Total Deposits,Currency,INR,8898019.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,SEQUITY,Shareholders Equity,Currency,INR,6272091.1856,10
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-07-13 02:10:00.000,,TBV,Tangible Book Value,Currency,INR,6338750.847,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,TA,Total Assets,Currency,INR,50800960,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,TOTINC,Total Income,Currency,INR,2275021.78947,19
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-21 08:29:00.000,,EFFRATIO,Efficiency Ratio,Percentage,,38.24444,9
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-20 20:14:00.000,,NIE,Non-Interest Expense,Currency,INR,919000.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-07-21 19:44:00.000,,NRECITEM,Non-recurring items,Currency,INR,0.0,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-25 16:49:00.000,,NIM,Net Interest Margin,Percentage,,3.7015,20
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-11-05 19:06:00.000,,LLP,Loan Loss Provisions,Currency,INR,177536.88235,17
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-22 05:23:00.000,,NAVPS,NAV per Share,Currency,INR,815.276,1
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-10-25 16:49:00.000,,TCOMPRATIO,Total Compensation Expense,Currency,INR,307603.5,10
HDFCBANK,HDFC Bank Ltd,Year,2027,2024-08-19 09:13:00.000,,DEPAMORT,Depreciation & Amortization,Currency,INR,0.01,1
