"Ticker","Name_","Type_","Period_","Measure_Code","Measure_Desc","UnitType","Curr","Value_"
TCS,Tata Consultancy Services Ltd,Year,2027,GROSSINC,Gross Income,Currency,INR,1476693.44444
TCS,Tata Consultancy Services Ltd,Year,2027,TOTDEBT,Total Debt,Currency,INR,58583.33333
TCS,Tata Consultancy Services Ltd,Year,2027,INCTAX,Income Taxes Paid,Currency,INR,207528.90909
TCS,Tata Consultancy Services Ltd,Year,2027,ROIC,Return on Invested Capital,Percentage,,82.4
TCS,Tata Consultancy Services Ltd,Year,2027,EBITDAREP,EBITDA Reported,Currency,INR,853296.21667
TCS,Tata Consultancy Services Ltd,Year,2027,GOODWILL,Goodwill,Currency,INR,35455.38462
TCS,Tata Consultancy Services Ltd,Year,2027,NOSHAREOUT,Number of Shares Outstanding,Shares,,3659.65357
TCS,Tata Consultancy Services Ltd,Year,2027,TAXRATE,Tax Rate,Percentage,,25.44235
TCS,Tata Consultancy Services Ltd,Year,2027,CURRASSETS,Current Assets,Currency,INR,1380331.38462
TCS,Tata Consultancy Services Ltd,Year,2027,CURRLIAB,Current Liabilities,Currency,INR,562867.66667
TCS,Tata Consultancy Services Ltd,Year,2027,NWC,Net Working Capital,Currency,INR,600441.0
TCS,Tata Consultancy Services Ltd,Year,2027,ROC,Return on Capital,Percentage,,58.56771
TCS,Tata Consultancy Services Ltd,Year,2027,TAXPROV,Tax Provision,Currency,INR,210703.04348
TCS,Tata Consultancy Services Ltd,Year,2027,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,486040.43478
TCS,Tata Consultancy Services Ltd,Year,2027,TOTALLIAB,Total Liabilities ,Currency,INR,1225168.33333
TCS,Tata Consultancy Services Ltd,Year,2027,EPSCASH,Cash EPS,Currency,INR,187.83278
TCS,Tata Consultancy Services Ltd,Year,2027,DPS,Dividend Per Share,Currency,INR,130.01574
TCS,Tata Consultancy Services Ltd,Year,2027,NPROFITREP,Reported Net Profit,Currency,INR,621812.03345
TCS,Tata Consultancy Services Ltd,Year,2027,PPROFITREP,Reported Pretax Profit,Currency,INR,833131.62663
TCS,Tata Consultancy Services Ltd,Year,2027,EBITDA,Earnings Before Interest Taxes and Depreciation,Currency,INR,844542.83777
TCS,Tata Consultancy Services Ltd,Year,2027,FCF,Free Cash Flow,Currency,INR,589861.28668
TCS,Tata Consultancy Services Ltd,Year,2027,TOTDIV,Total Dividends,Currency,INR,481584.88571
TCS,Tata Consultancy Services Ltd,Year,2027,GPM,Gross Margin (Gross Profit Margin),Percentage,,41.8543
TCS,Tata Consultancy Services Ltd,Year,2027,EPS,Earnings Per Share,Currency,INR,171.16654
TCS,Tata Consultancy Services Ltd,Year,2027,EBIT,Earnings Before Tax,Currency,INR,792639.54456
TCS,Tata Consultancy Services Ltd,Year,2028,EPS,Earnings Per Share,Currency,INR,205.96
TCS,Tata Consultancy Services Ltd,Year,2028,GROSSINC,Gross Income,Currency,INR,1409888.5
TCS,Tata Consultancy Services Ltd,Year,2028,GOODWILL,Goodwill,Currency,INR,26505.0
TCS,Tata Consultancy Services Ltd,Year,2028,NWC,Net Working Capital,Currency,INR,473132.0
TCS,Tata Consultancy Services Ltd,Year,2028,ROC,Return on Capital,Percentage,,48.0
TCS,Tata Consultancy Services Ltd,Year,2028,MKTBLSEC,Cash & Mktbl. Sec.,Currency,INR,1226649.0
TCS,Tata Consultancy Services Ltd,Year,2028,EBIT,Earnings Before Tax,Currency,INR,917112.5
TCS,Tata Consultancy Services Ltd,Year,2028,EBITDA,Earnings Before Interest Taxes and Depreciation,Currency,INR,968229.5
TCS,Tata Consultancy Services Ltd,Year,2028,NPROFITREP,Reported Net Profit,Currency,INR,738159.0
TCS,Tata Consultancy Services Ltd,Year,2028,GPM,Gross Margin (Gross Profit Margin),Percentage,,42.3
TCS,Tata Consultancy Services Ltd,Year,2028,PPROFITREP,Reported Pretax Profit,Currency,INR,975044.0
TCS,Tata Consultancy Services Ltd,Year,2028,DEPREC,Depreciation,Currency,INR,44697.5
TCS,Tata Consultancy Services Ltd,Year,2028,EBITDAREP,EBITDA Reported,Currency,INR,968229.5
TCS,Tata Consultancy Services Ltd,Year,2028,FCF,Free Cash Flow,Currency,INR,605330.0
TCS,Tata Consultancy Services Ltd,Year,2028,PSR,Price/Sales Ratio,Percentage,,4.3
